observed_at,health_http_200,direct_api_ms,overview_api_ms,system_api_ms,ledger_api_ms,processor_healthy,heartbeat_healthy,progress_healthy,progress_age_ms,lifecycle_cycle_count,errors_last_5m,direct_open,direct_closed,direct_pnl_usdt,direct_classic_pf,app_rss_mb,heap_mb,redis_rps,redis_keys
2026-08-26T23:43:06.309Z,true,31.9,105.5,115.5,94.7,true,true,true,2081,3802,0,6,9,-0.541761,0.288,991.5,399,420,135936
2026-08-26T23:43:21.380Z,true,17.6,54.3,55.8,,true,true,true,2031,3843,0,6,9,-0.541761,0.288,963.8,365,230,135936
2026-08-26T23:43:36.407Z,true,19.2,53.8,61.2,,true,true,true,1773,3881,0,6,9,-0.541761,0.288,1004,324,268,135934
2026-08-26T23:43:51.376Z,true,17.8,54.2,53.1,,true,true,true,6734,3907,0,6,9,-0.541761,0.288,1004.1,397,255,135937
2026-08-26T23:44:06.891Z,true,50.2,126.1,139.9,94.3,true,true,true,1118,3952,0,5,10,-0.492412,0.353,1030.6,433,418,135939
2026-08-26T23:44:21.522Z,true,20.1,56.8,57.4,,true,true,true,979,3988,0,6,10,-0.492412,0.353,959.7,378,139,135939
2026-08-26T23:44:36.403Z,true,18.2,53.3,55.2,,true,true,true,587,4029,0,6,10,-0.492412,0.353,1002.7,337,187,135939
2026-08-26T23:44:51.434Z,true,18.7,43.8,47.3,,true,true,true,2842,4062,0,6,10,-0.492412,0.353,1005,349,1341,135942
2026-08-26T23:45:06.462Z,true,32.2,139.8,154.4,97.6,true,true,true,1607,4089,0,5,11,-0.605503,0.307,964.8,437,3630,135941
2026-08-26T23:45:21.361Z,true,17.4,46.6,46.6,,true,true,true,923,4119,0,7,11,-0.605503,0.307,964.5,460,562,135943
2026-08-26T23:45:36.648Z,true,18.5,184.3,184.7,,true,true,true,1700,4152,0,6,12,-0.607419,0.306,978.9,394,159,135948
2026-08-26T23:45:51.388Z,true,16.8,56.2,56.5,,true,true,true,949,4190,0,6,12,-0.607419,0.306,1005.1,470,2863,135946
2026-08-26T23:46:06.718Z,true,32.5,108,118.2,97.5,true,true,true,1272,4210,0,5,13,-0.53427,0.39,1031.6,493,3071,135948
2026-08-26T23:46:21.443Z,true,17.3,50.4,50.6,,true,true,true,2802,4240,0,7,13,-0.53427,0.39,1034.4,392,576,135954
2026-08-26T23:46:36.402Z,true,19.7,44,44.6,,true,true,true,721,4279,0,7,13,-0.53427,0.39,979.3,425,2813,135949
2026-08-26T23:46:51.568Z,true,17.8,56,22.7,,true,true,true,2469,4313,0,7,13,-0.53427,0.39,989,439,170,135954
2026-08-26T23:47:06.609Z,true,44.2,150.5,161.1,95,true,true,true,8655,4335,0,7,13,-0.53427,0.39,1045.2,334,506,135956
2026-08-26T23:47:21.462Z,true,20.8,59.4,60.2,,true,true,true,411,4358,0,7,13,-0.53427,0.39,1024.7,440,103,135956
2026-08-26T23:47:36.456Z,true,19.1,55.5,56.5,,true,true,true,2289,4390,0,7,13,-0.53427,0.39,1048.4,476,271,135957
2026-08-26T23:47:51.489Z,true,18.5,83.3,42.1,,true,true,true,726,4426,0,7,14,-0.604852,0.361,1005.1,386,203,135960
2026-08-26T23:48:06.559Z,true,31.2,97.4,107.1,90.8,true,true,true,936,4457,0,6,16,-0.628238,0.372,1050.2,502,487,135963
2026-08-26T23:48:21.523Z,true,20.7,62,64,,true,true,true,2234,4467,0,6,16,-0.628238,0.372,984.9,473,139,135968
2026-08-26T23:48:36.510Z,true,19.1,47.6,47.8,,true,true,true,1498,4505,0,6,16,-0.628238,0.372,1050,439,154,135966
2026-08-26T23:48:51.540Z,true,18.6,53.4,19.8,,true,true,true,2517,4540,0,7,16,-0.628238,0.372,985.7,334,451,135970
2026-08-26T23:49:06.597Z,true,50,105.8,104.6,94.2,true,true,true,888,4579,0,7,16,-0.628238,0.372,986.2,410,587,135969
2026-08-26T23:49:21.540Z,true,19.1,60,60.9,,true,true,true,1272,4604,0,7,16,-0.628238,0.372,984,498,3398,135967
2026-08-26T23:49:36.510Z,true,18.3,50.3,51.1,,true,true,true,502,4643,0,7,16,-0.628238,0.372,1076.3,546,68,135971
2026-08-26T23:49:51.487Z,true,18.9,51.9,20.3,,true,true,true,2240,4676,0,7,16,-0.628238,0.372,1041.4,414,452,135968
2026-08-26T23:50:07.083Z,true,528.1,598.8,613.9,585.8,true,true,true,14770,4682,0,5,18,-0.615955,0.405,1057.2,463,225,135977
2026-08-26T23:50:21.523Z,true,18.5,63.7,65.5,,false,true,false,29245,4682,0,5,18,-0.615955,0.405,1112.2,583,141,135987
2026-08-26T23:50:37.439Z,true,481.6,512.5,513.1,,false,true,false,45177,4682,0,5,18,-0.615955,0.405,1251.5,1093,252,135999
2026-08-26T23:50:52.330Z,true,506.8,546.2,514.5,,false,true,false,60060,4682,0,5,18,-0.615955,0.405,1630.2,780,172,136022
2026-08-26T23:51:08.038Z,true,881.8,975,987.1,950.2,true,true,true,1437,11,11,0,0,0,,1497.4,916,414,136027
2026-08-26T23:51:21.638Z,true,28.9,58.7,59.6,,true,true,true,822,45,45,0,0,0,,1511.4,975,1378,136044
2026-08-26T23:51:36.615Z,true,17.1,51.2,52.5,,true,true,true,612,85,85,0,0,0,,1560.2,727,2822,136060
2026-08-26T23:51:51.701Z,true,16.5,43.1,17.3,,true,true,true,1358,124,124,0,0,0,,1563.9,1087,128,136075
2026-08-26T23:52:06.907Z,true,43.4,106.5,136.2,94.9,true,true,true,9904,142,142,0,0,0,,1647.3,454,655,135991
2026-08-26T23:52:21.718Z,true,16.7,47.4,48.6,,false,true,false,24775,142,142,0,0,0,,1649.8,1043,37,135997
2026-08-26T23:52:37.255Z,true,676.8,700.8,701.8,,false,true,false,40318,142,142,0,0,0,,1764.9,1252,1369,136018
2026-08-26T23:52:51.611Z,true,23.5,56.4,57.5,,false,true,false,54666,142,142,0,0,0,,1805.5,753,1513,136031
2026-08-26T23:53:06.965Z,true,259.1,337,353.1,329.2,true,true,true,2588,0,0,0,0,0,,1777,517,335,136044
2026-08-26T23:53:21.796Z,true,15.2,44.9,46.1,,true,true,true,856,41,41,0,0,0,,1739.5,1330,63,136058
2026-08-26T23:53:37.304Z,true,385.1,664,666.7,,true,true,true,3569,71,71,0,0,0,,1890.3,735,2204,136075
2026-08-26T23:53:52.029Z,true,16,63.1,65,,true,true,true,1749,112,112,0,0,0,,2424.6,476,2213,136088
2026-08-26T23:54:06.817Z,true,71.8,169.6,136.4,134.9,true,true,true,7180,136,136,0,0,0,,2385.2,424,688,135999
2026-08-26T23:54:22.223Z,true,429.9,512.2,474.1,,false,true,false,20720,140,140,0,0,0,,2264.3,1322,1415,136009
2026-08-26T23:54:36.952Z,true,15.6,46.2,16.4,,false,true,false,35502,140,140,0,0,0,,2332.7,1392,823,136019
2026-08-26T23:54:52.363Z,true,508.4,542.5,543,,false,true,false,50908,140,140,0,0,0,,2387.7,668,406,136038
2026-08-26T23:55:06.807Z,true,30.9,112,86.1,84.5,true,true,true,564,0,0,0,0,0,,2374.1,440,920,136045
